ticker,security,sector,cik
AAN,Aaron's Inc.,Consumer Discretionary,0000706688
AAOI,Applied Optoelect,Information Technology,0001158114
AAON,AAON Inc,Industrials,0000824142
AAT,American Assets Trust,Real Estate,0001500217
AAWW,Atlas Air Worldwide Holdings,Industrials,0001135185
AAXN,Axon Inc,Industrials,0001069183
ABCB,Ameris Bancorp,Financials,0000351569
ABG,Asbury Automotive Group Inc,Customer Discretionary,0001144980
ABM,ABM Industries Incorporated,Industrials,0000771497
ACC,American Campus Communities,Real Estate,0001283630
ACET,Aceto Cp,Health Care,0000002034
ACHC,Acadia Healthcare,Health Care,0001520697
ACIW,ACI Worldwide,Information Technology,0000935036
ACLS,Axcelis Tech Inc,Information Technology,0001113232
ACM,AECOM,Industrials,0000868857
ACOR,Acorda Therapeutics,Health Care,0001008848
ACXM,"LiveRamp Holdings, Inc (formerly Acxiom)",Information Technology,0000733269
ADC,Agree Realty Corp,Real Estate,0000917251
ADNT,Adient plc,Consumer Discretionary,0001670541
ADTN,Adtran Inc,Information Technology,0000926282
AEGN,Aegion Corp,Industrials,0000353020
AEIS,Advanced Energy,Information Technology,0000927003
AEL,American Equity Investment Life,Financials,0001039828
AEO,American Eagle Outfitters,Consumer Discretionary,0000919012
AFG,American Financial Group,Financials,0001042046
AGCO,AGCO,Industrials,0000880266
AGYS,Agilysys Inc,Information Technology,0000078749
AHH,Armada Hoffler Properties Inc,Real Estate,0001569187
AHL,Aspen Insurance Holdings Ltd,Financials,0001267395
AIN,Albany International Corp,Industrials,0000819793
AIR,AAR Corp,Industrials,0000001750
AIT,Applied Industrial Technologies,Industrials,0000109563
AJRD,Aerojet Rocketdyne Holdings,Industrials,0000040888
AKR,Acadia Realty Trust,Real Estate,0000899629
AKRX,Akorn,Health Care,0000003116
AKS,AK Steel Holding Corp,Materials,0000918160
ALE,ALLETE Inc.,Utilities,0000066756
ALEX,Alexander & Baldwin,Real Estate,0001545654
ALG,Alamo Group,Industrials,0000897077
ALGT,Allegiant Travel Company,Industrials,0001362468
ALRM,AlarmCom Hldg Inc,Financials,0001459200
AMAG,Amag Pharmaceuticals,Health Care,0000792977
AMBC,Ambac Financial Group,Financials,0000874501
AMCX,AMC Networks,Consumer Discretionary,0001514991
AMED,Amedisys Inc,Health Care,0000896262
AMN,Amn Healthcare Services Inc,Health Care,0001142750
AMPH,Amphastar Pharma,Health Care,0001297184
AMSF,Amerisafe Inc,Financials,0001018979
AMWD,Amer Woodmark Corporation,Industrials,0000794619
AN,AutoNation,Consumer Discretionary,0000350698
ANDE,Andersons Inc,Consumer Staples,0000821026
ANF,Abercrombie & Fitch Company,Consumer Discretionary,0001018840
ANGO,Angiodynamics Inc,Health Care,0001275187
ANIK,Anika Therapeutics,Health Care,0000898437
ANIP,ANI Pharma Inc,Health Care,0001023024
APEI,American Pub. Edu.,Consumer Discretionary,0001201792
APOG,Apogee Entrpr Inc,Industrials,0000006845
APY,Apergy Corp.,Energy,0001723089
ARCB,Arcbest Corp,Industrials,0000894405
ARI,Apollo Commercial Real Estate,Real Estate,0001467760
AROC,Archrock Inc,Energy,0001389050
ARR,Armour Residential R,Real Estate,0001428205
ARRS,Arris International,Information Technology,0001645494
ARW,Arrow Electronics,Information Technology,0000007536
ASB,Associated Banc-Corp,Financials,0000007789
ASGN,On Assignment,Industrials,0000890564
ASH,Ashland Inc.,Materials,0001674862
ASIX,Advansix Inc,Materials,0001673985
ASNA,Ascena Retail Grp,Consumer Discretionary,0001498301
ASRT,"Assertio Therapeutics, Inc",Health Care,0001005201
ASTE,Astec Inds Inc,Industrials,0000792987
ATGE,Adtalem Global Education,Consumer Discretionary,0000730464
ATI,Allegheny Technologies,Materials,0001018963
ATNI,ATN International Inc,Telecommunication Services,0000879585
ATO,Atmos Energy,Utilities,0000731802
ATR,AptarGroup Inc,Materials,0000896622
ATU,Actuant Corporation,Industrials,0000006955
AVA,Avista Corporation,Utilities,0000104918
AVAV,AeroVironment Inc,Industrials,0001368622
AVD,American Vanguard Corporation,Materials,0000005981
AVNS,Avanos Medical Inc,Health Care,0001606498
AVP,Avon Products Inc,Consumer Staples,0000008868
AVT,Avnet,Information Technology,0000008858
AWR,American States Water Company,Utilities,0001056903
AXE,Anixter International Inc.,Information Technology,0000052795
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Discretionary,0001062231
AYI,Acuity Brands,Industrials,0001144215
AZZ,AZZ Inc.,Industrials,0000008947
B,Barnes Group Inc.,Industrials,0000009984
BABY,Natus Medical Incorporated,Health Care,0000878526
BANC,"Banc Of California, Inc.",Financials,0001169770
BANR,Banner Corporation,Financials,0000946673
BBBY,Bed Bath & Beyond,Consumer Discretionary,0000886158
BC,Brunswick Corporation,Consumer Discretionary,0000014930
BCC,Boise Cascade Company,Materials,0001328581
BCEI,"Bonanza Creek Energy, Inc.",Energy,0001509589
BCO,Brink's Company (The),Industrials,0000078890
BCOR,"Blucora, Inc.",Financials,0001068875
BCPC,Balchem Corporation,Materials,0000009326
BDC,Belden Inc,Information Technology,0000913142
BEAT,"BioTelemetry, Inc.",Health Care,0001574774
BEL,Belmond Ltd.,Consumer Discretionary,0001115836
BELFB,Bel Fuse Inc.,Information Technology,0000729580
BFS,"Saul Centers, Inc.",Real Estate,0000907254
BGFV,Big 5 Sporting Goods Corp,Consumer Discretionary,0001156388
BGG,Briggs & Stratton Corporation,Industrials,0000014195
BGS,"B&G Foods, Inc.",Consumer Staples,0001278027
BHE,"Benchmark Electronics, Inc.",Information Technology,0000863436
BHLB,"Berkshire Hills Bancorp, Inc.",Financials,0001108134
BID,Sotheby's,Consumer Discretionary,0000823094
BIG,Big Lots,Consumer Discretionary,0000768835
BIO,Bio-Rad Laboratories,Health Care,0000012208
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,0001013488
BKE,"The Buckle, Inc.",Consumer Discretionary,0000885245
BKH,Black Hills Corporation,Utilities,0001130464
BKS,"Barnes & Noble, Inc.",Consumer Discretionary,0000890491
BLD,TopBuild Corp.,Consumer Discretionary,0001633931
BLKB,Blackbaud,Information Technology,0001280058
BMI,"Badger Meter, Inc.",Information Technology,0000009092
BMS,Bemis Company,Materials,0000011199
BNED,"Barnes & Noble Education, Inc.",Consumer Discretionary,0001634117
BOFI,"Axos Financial, Inc.",Financials,0001299709
BOH,Bank of Hawaii,Financials,0000046195
BPFH,"Boston Private Financial Holdings, Inc.",Financials,0000821127
BRC,Brady Corporation,Industrials,0000746598
BRKL,"Brookline Bancorp, Inc.",Financials,0001049782
BRKS,"Brooks Automation, Inc.",Information Technology,0000933974
BRO,Brown & Brown,Financials,0000079282
BRS,Bristow Group Inc.,Energy,0000073887
BXS,BancorpSouth,Financials,0001299939
BYD,Boyd Gaming,Consumer Discretionary,0000906553
CABO,Cable One Inc,Consumer Discretionary,0001632127
CACI,CACI International Inc,Information Technology,0000016058
CAKE,Cheesecake Factory Inc,Consumer Discretionary,0000887596
CAL,"Caleres, Inc.",Consumer Discretionary,0000014707
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,0000016160
CAMP,CalAmp Corp.,Information Technology,0000730255
CAR,Avis Budget Group,Industrials,0000723612
