ticker,security,sector,cik
C,Citigroup Inc.,Diversified Banks,0000831001
CFG,Citizens Financial Group,Regional Banks,0000759944
CTXS,Citrix Systems,Application Software,0000877890
CLX,The Clorox Company,Household Products,0000021076
CME,CME Group Inc.,Financial Exchanges & Data,0001156375
CMS,CMS Energy,Multi-Utilities,0000811156
KO,Coca-Cola Company,Soft Drinks,0000021344
CTSH,Cognizant Technology Solutions,IT Consulting & Other Services,0001058290
CL,Colgate-Palmolive,Household Products,0000021665
CMCSA,Comcast Corp.,Cable & Satellite,0001166691
CMA,Comerica Inc.,Diversified Banks,0000028412
CAG,Conagra Brands,Packaged Foods & Meats,0000023217
CXO,Concho Resources,Oil & Gas Exploration & Production,0001358071
COP,ConocoPhillips,Oil & Gas Exploration & Production,0001163165
ED,Consolidated Edison,Electric Utilities,0001047862
STZ,Constellation Brands,Distillers & Vintners,0000016918
COO,The Cooper Companies,Health Care Supplies,0000711404
CPRT,Copart Inc,Diversified Support Services,0000900075
GLW,Corning Inc.,Electronic Components,0000024741
CTVA,Corteva,Fertilizers & Agricultural Chemicals,0001755672
COST,Costco Wholesale Corp.,Hypermarkets & Super Centers,0000909832
COTY,"Coty, Inc",Personal Products,0001024305
CCI,Crown Castle International Corp.,Specialized REITs,0001051470
CSX,CSX Corp.,Railroads,0000277948
CMI,Cummins Inc.,Industrial Machinery,0000026172
CVS,CVS Health,Health Care Services,0000064803
DHI,D. R. Horton,Homebuilding,0000882184
DHR,Danaher Corp.,Health Care Equipment,0000313616
DRI,Darden Restaurants,Restaurants,0000940944
DVA,DaVita Inc.,Health Care Facilities,0000927066
DE,Deere & Co.,Agricultural & Farm Machinery,0000315189
DAL,Delta Air Lines Inc.,Airlines,0000027904
XRAY,Dentsply Sirona,Health Care Supplies,0000818479
DVN,Devon Energy,Oil & Gas Exploration & Production,0001090012
FANG,Diamondback Energy,Oil & Gas Exploration & Production,0001539838
DLR,Digital Realty Trust Inc,Specialized REITs,0001297996
DFS,Discover Financial Services,Consumer Finance,0001393612
DISCA,Discovery Inc. Class A,Broadcasting,0001437107
DISCK,Discovery Inc. Class C,Broadcasting,0001437107
DISH,Dish Network,Cable & Satellite,0001001082
DG,Dollar General,General Merchandise Stores,0000029534
DLTR,Dollar Tree,General Merchandise Stores,0000935703
D,Dominion Energy,Electric Utilities,0000715957
DOV,Dover Corporation,Industrial Machinery,0000029905
DOW,Dow Inc.,Commodity Chemicals,0001751788
DTE,DTE Energy Co.,Multi-Utilities,0000936340
DUK,Duke Energy,Electric Utilities,0001326160
DRE,Duke Realty Corp,Industrial REITs,0000783280
DD,DuPont de Nemours Inc,Specialty Chemicals,0001666700
DXC,DXC Technology,IT Consulting & Other Services,0001688568
ETFC,E*Trade,Investment Banking & Brokerage,0001015780
EMN,Eastman Chemical,Diversified Chemicals,0000915389
ETN,Eaton Corporation,Electrical Components & Equipment,0001551182
EBAY,eBay Inc.,Internet & Direct Marketing Retail,0001065088
ECL,Ecolab Inc.,Specialty Chemicals,0000031462
EIX,Edison Int'l,Electric Utilities,0000827052
EW,Edwards Lifesciences,Health Care Equipment,0001099800
EA,Electronic Arts,Interactive Home Entertainment,0000712515
EMR,Emerson Electric Company,Electrical Components & Equipment,0000032604
ETR,Entergy Corp.,Electric Utilities,0000065984
EOG,EOG Resources,Oil & Gas Exploration & Production,0000821189
EFX,Equifax Inc.,Research & Consulting Services,0000033185
EQIX,Equinix,Specialized REITs,0001101239
EQR,Equity Residential,Residential REITs,0000906107
ESS,"Essex Property Trust, Inc.",Residential REITs,0000920522
EL,Estée Lauder Companies,Personal Products,0001001250
EVRG,Evergy,Electric Utilities,0001711269
ES,Eversource Energy,Multi-Utilities,0000072741
RE,Everest Re Group Ltd.,Reinsurance,0001095073
EXC,Exelon Corp.,Multi-Utilities,0001109357
EXPE,Expedia Group,Internet & Direct Marketing Retail,0001324424
EXPD,Expeditors,Air Freight & Logistics,0000746515
EXR,Extra Space Storage,Specialized REITs,0001289490
XOM,Exxon Mobil Corp.,Integrated Oil & Gas,0000034088
FFIV,F5 Networks,Communications Equipment,0001048695
FB,"Facebook, Inc.",Interactive Media & Services,0001326801
FAST,Fastenal Co,Building Products,0000815556
FRT,Federal Realty Investment Trust,Retail REITs,0000034903
FDX,FedEx Corporation,Air Freight & Logistics,0001048911
FIS,Fidelity National Information Services,Data Processing & Outsourced Services,0001136893
FITB,Fifth Third Bancorp,Regional Banks,0000035527
FE,FirstEnergy Corp,Electric Utilities,0001031296
FRC,First Republic Bank,Regional Banks,0001132979
FISV,Fiserv Inc,Data Processing & Outsourced Services,0000798354
FLT,FleetCor Technologies Inc,Data Processing & Outsourced Services,0001175454
FLIR,FLIR Systems,Electronic Equipment & Instruments,0000354908
FLS,Flowserve Corporation,Industrial Machinery,0000030625
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals,0000037785
F,Ford Motor Company,Automobile Manufacturers,0000037996
FTNT,Fortinet,Systems Software,0001262039
FTV,Fortive Corp,Industrial Machinery,0001659166
FBHS,Fortune Brands Home & Security,Building Products,0001519751
FOXA,Fox Corporation Class A,Movies & Entertainment,0001308161
FOX,Fox Corporation Class B,Movies & Entertainment,0001308161
BEN,Franklin Resources,Asset Management & Custody Banks,0000038777
FCX,Freeport-McMoRan Inc.,Copper,0000831259
GPS,Gap Inc.,Apparel Retail,0000039911
GRMN,Garmin Ltd.,Consumer Electronics,0001121788
IT,Gartner Inc,IT Consulting & Other Services,0000749251
GD,General Dynamics,Aerospace & Defense,0000040533
GE,General Electric,Industrial Conglomerates,0000040545
GIS,General Mills,Packaged Foods & Meats,0000040704
GM,General Motors,Automobile Manufacturers,0001467858
GPC,Genuine Parts,Specialty Stores,0000040987
GILD,Gilead Sciences,Biotechnology,0000882095
GL,Globe Life Inc.,Life & Health Insurance,0000320335
GPN,Global Payments Inc.,Data Processing & Outsourced Services,0001123360
GS,Goldman Sachs Group,Investment Banking & Brokerage,0000886982
GWW,Grainger (W.W.) Inc.,Industrial Machinery,0000277135
HRB,H&R Block,Specialized Consumer Services,0000012659
HAL,Halliburton Co.,Oil & Gas Equipment & Services,0000045012
HBI,Hanesbrands Inc,"Apparel, Accessories & Luxury Goods",0001359841
HOG,Harley-Davidson,Motorcycle Manufacturers,0000793952
HIG,Hartford Financial Svc.Gp.,Property & Casualty Insurance,0000874766
HAS,Hasbro Inc.,Leisure Products,0000046080
HCA,HCA Healthcare,Health Care Facilities,0000860730
PEAK,Healthpeak Properties,Health Care REITs,0000765880
HP,Helmerich & Payne,Oil & Gas Drilling,0000046765
HSIC,Henry Schein,Health Care Distributors,0001000228
HSY,The Hershey Company,Packaged Foods & Meats,0000047111
HES,Hess Corporation,Integrated Oil & Gas,0000004447
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals",0001645590
HLT,Hilton Worldwide Holdings Inc,"Hotels, Resorts & Cruise Lines",0001585689
HFC,HollyFrontier Corp,Oil & Gas Refining & Marketing,0000048039
HOLX,Hologic,Health Care Equipment,0000859737
HD,Home Depot,Home Improvement Retail,0000354950
HON,Honeywell Int'l Inc.,Industrial Conglomerates,0000773840
HRL,Hormel Foods Corp.,Packaged Foods & Meats,0000048465
HST,Host Hotels & Resorts,Hotel & Resort REITs,0001070750
HWM,Howmet Aerospace,Aerospace & Defense,0000004281
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals",0000047217
HUM,Humana Inc.,Managed Health Care,0000049071
HBAN,Huntington Bancshares,Regional Banks,0000049196
HII,Huntington Ingalls Industries,Aerospace & Defense,0001501585
IEX,IDEX Corporation,Industrial Machinery,0000832101
IDXX,IDEXX Laboratories,Health Care Equipment,0000874716
INFO,IHS Markit Ltd.,Research & Consulting Services,0001598014
ITW,Illinois Tool Works,Industrial Machinery,0000049826
ILMN,Illumina Inc,Life Sciences Tools & Services,0001110803
INCY,Incyte,Biotechnology,0000879169
IR,Ingersoll Rand,Industrial Machinery,0001699150
INTC,Intel Corp.,Semiconductors,0000050863
ICE,Intercontinental Exchange,Financial Exchanges & Data,0001571949
IBM,International Business Machines,IT Consulting & Other Services,0000051143
IP,International Paper,Paper Packaging,0000051434
IPG,Interpublic Group,Advertising,0000051644
IFF,Intl Flavors & Fragrances,Specialty Chemicals,0000051253
INTU,Intuit Inc.,Application Software,0000896878
ISRG,Intuitive Surgical Inc.,Health Care Equipment,0001035267
IVZ,Invesco Ltd.,Asset Management & Custody Banks,0000914208
IPGP,IPG Photonics Corp.,Electronic Manufacturing Services,0001111928
IQV,IQVIA Holdings Inc.,Life Sciences Tools & Services,0001478242
IRM,Iron Mountain Incorporated,Specialized REITs,0001020569
JKHY,Jack Henry & Associates,Data Processing & Outsourced Services,0000779152
J,Jacobs Engineering Group,Construction & Engineering,0000052988
JBHT,J. B. Hunt Transport Services,Trucking,0000728535
SJM,JM Smucker,Packaged Foods & Meats,0000091419
JNJ,Johnson & Johnson,Pharmaceuticals,0000200406
JCI,Johnson Controls International,Building Products,0000833444
JPM,JPMorgan Chase & Co.,Diversified Banks,0000019617
JNPR,Juniper Networks,Communications Equipment,0001043604
KSU,Kansas City Southern,Railroads,0000054480
K,Kellogg Co.,Packaged Foods & Meats,0000055067
KEY,KeyCorp,Regional Banks,0000091576
KEYS,Keysight Technologies,Electronic Equipment & Instruments,0001601046
KMB,Kimberly-Clark,Household Products,0000055785
KIM,Kimco Realty,Retail REITs,0000879101
KMI,Kinder Morgan,Oil & Gas Storage & Transportation,0001506307
KLAC,KLA Corporation,Semiconductor Equipment,0000319201
KSS,Kohl's Corp.,General Merchandise Stores,0000885639
KHC,Kraft Heinz Co,Packaged Foods & Meats,0001637459
KR,Kroger Co.,Food Retail,0000056873
LB,L Brands Inc.,Apparel Retail,0000701985
LHX,L3Harris Technologies,Aerospace & Defense,0000202058
LH,Laboratory Corp. of America Holding,Health Care Services,0000920148
LRCX,Lam Research,Semiconductor Equipment,0000707549
LW,Lamb Weston Holdings Inc,Packaged Foods & Meats,0001679273
LVS,Las Vegas Sands,Casinos & Gaming,0001300514
LEG,Leggett & Platt,Home Furnishings,0000058492
LDOS,Leidos Holdings,IT Consulting & Other Services,0001336920
LEN,Lennar Corp.,Homebuilding,0000920760
LLY,Lilly (Eli) & Co.,Pharmaceuticals,0000059478
LNC,Lincoln National,Multi-line Insurance,0000059558
LIN,Linde plc,Industrial Gases,0001707925
LYV,Live Nation Entertainment,Movies & Entertainment,0001335258
LKQ,LKQ Corporation,Distributors,0001065696
LMT,Lockheed Martin Corp.,Aerospace & Defense,0000936468
L,Loews Corp.,Multi-line Insurance,0000060086
LOW,Lowe's Cos.,Home Improvement Retail,0000060667
LYB,LyondellBasell,Specialty Chemicals,0001489393
MTB,M&T Bank Corp.,Regional Banks,0000036270
M,Macy's Inc.,Department Stores,0000794367
MRO,Marathon Oil Corp.,Oil & Gas Exploration & Production,0000101778
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,0001510295
MKTX,MarketAxess,Financial Exchanges & Data,0001278021
MAR,Marriott Int'l.,"Hotels, Resorts & Cruise Lines",0001048286
MMC,Marsh & McLennan,Insurance Brokers,0000062709
MLM,Martin Marietta Materials,Construction Materials,0000916076
MAS,Masco Corp.,Building Products,0000062996
MA,Mastercard Inc.,Data Processing & Outsourced Services,0001141391
MKC,McCormick & Co.,Packaged Foods & Meats,0000063754
MXIM,Maxim Integrated Products Inc,Semiconductors,0000743316
MCD,McDonald's Corp.,Restaurants,0000063908
MCK,McKesson Corp.,Health Care Distributors,0000927653
MDT,Medtronic plc,Health Care Equipment,0001613103
MRK,Merck & Co.,Pharmaceuticals,0000310158
MET,MetLife Inc.,Life & Health Insurance,0001099219
MTD,Mettler Toledo,Life Sciences Tools & Services,0001037646
MGM,MGM Resorts International,Casinos & Gaming,0000789570
MCHP,Microchip Technology,Semiconductors,0000827054
MU,Micron Technology,Semiconductors,0000723125
MSFT,Microsoft Corp.,Systems Software,0000789019
MAA,Mid-America Apartments,Residential REITs,0000912595
MHK,Mohawk Industries,Home Furnishings,0000851968
TAP,Molson Coors Brewing Company,Brewers,0000024545
MDLZ,Mondelez International,Packaged Foods & Meats,0001103982
MNST,Monster Beverage,Soft Drinks,0000865752
MCO,Moody's Corp,Financial Exchanges & Data,0001059556
MS,Morgan Stanley,Investment Banking & Brokerage,0000895421
MOS,The Mosaic Company,Fertilizers & Agricultural Chemicals,0001285785
MSI,Motorola Solutions Inc.,Communications Equipment,0000068505
MSCI,MSCI Inc,Financial Exchanges & Data,0001408198
MYL,Mylan N.V.,Pharmaceuticals,0001623613
NDAQ,"Nasdaq, Inc.",Financial Exchanges & Data,0001120193
NOV,National Oilwell Varco Inc.,Oil & Gas Equipment & Services,0001021860
NTAP,NetApp,"Technology Hardware, Storage & Peripherals",0001002047
NFLX,Netflix Inc.,Movies & Entertainment,0001065280
NWL,Newell Brands,Housewares & Specialties,0000814453
NEM,Newmont Corporation,Gold,0001164727
NWSA,News Corp. Class A,Publishing,0001564708
NWS,News Corp. Class B,Publishing,0001564708
NEE,NextEra Energy,Multi-Utilities,0000753308
NLSN,Nielsen Holdings,Research & Consulting Services,0001492633
NKE,Nike,"Apparel, Accessories & Luxury Goods",0000320187
NI,NiSource Inc.,Multi-Utilities,0001111711
NBL,Noble Energy Inc,Oil & Gas Exploration & Production,0000072207
JWN,Nordstrom,Department Stores,0000072333
NSC,Norfolk Southern Corp.,Railroads,0000702165
NTRS,Northern Trust Corp.,Asset Management & Custody Banks,0000073124
NOC,Northrop Grumman,Aerospace & Defense,0001133421
NLOK,NortonLifeLock,Application Software,0000849399
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines",0001513761
NRG,NRG Energy,Independent Power Producers & Energy Traders,0001013871
NUE,Nucor Corp.,Steel,0000073309
NVDA,Nvidia Corporation,Semiconductors,0001045810
NVR,NVR Inc,Homebuilding,0000906163
ORLY,O'Reilly Automotive,Specialty Stores,0000898173
OXY,Occidental Petroleum,Oil & Gas Exploration & Production,0000797468
ODFL,Old Dominion Freight Line,Trucking,0000878927
OMC,Omnicom Group,Advertising,0000029989
OKE,ONEOK,Oil & Gas Storage & Transportation,0001039684
ORCL,Oracle Corp.,Application Software,0001341439
PCAR,PACCAR Inc.,Construction Machinery & Heavy Trucks,0000075362
PKG,Packaging Corporation of America,Paper Packaging,0000075677
PH,Parker-Hannifin,Industrial Machinery,0000076334
PAYX,Paychex Inc.,Data Processing & Outsourced Services,0000723531
PAYC,Paycom,Application Software,0001590955
PYPL,PayPal,Data Processing & Outsourced Services,0001633917
PNR,Pentair plc,Industrial Machinery,0000077360
PBCT,People's United Financial,Thrifts & Mortgage Finance,0001378946
PEP,PepsiCo Inc.,Soft Drinks,0000077476
PKI,PerkinElmer,Health Care Equipment,0000031791
PRGO,Perrigo,Pharmaceuticals,0001585364
PFE,Pfizer Inc.,Pharmaceuticals,0000078003
PM,Philip Morris International,Tobacco,0001413329
PSX,Phillips 66,Oil & Gas Refining & Marketing,0001534701
PNW,Pinnacle West Capital,Multi-Utilities,0000764622
PXD,Pioneer Natural Resources,Oil & Gas Exploration & Production,0001038357
PNC,PNC Financial Services,Regional Banks,0000713676
PPG,PPG Industries,Specialty Chemicals,0000079879
PPL,PPL Corp.,Electric Utilities,0000922224
PFG,Principal Financial Group,Life & Health Insurance,0001126328
PG,Procter & Gamble,Personal Products,0000080424
PGR,Progressive Corp.,Property & Casualty Insurance,0000080661
PLD,Prologis,Industrial REITs,0001045609
PRU,Prudential Financial,Life & Health Insurance,0001137774
PEG,Public Serv. Enterprise Inc.,Electric Utilities,0000788784
PSA,Public Storage,Specialized REITs,0001393311
PHM,PulteGroup,Homebuilding,0000822416
PVH,PVH Corp.,"Apparel, Accessories & Luxury Goods",0000078239
QRVO,Qorvo,Semiconductors,0001604778
PWR,Quanta Services Inc.,Construction & Engineering,0001050915
QCOM,QUALCOMM Inc.,Semiconductors,0000804328
DGX,Quest Diagnostics,Health Care Services,0001022079
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods",0001037038
RJF,Raymond James Financial Inc.,Investment Banking & Brokerage,0000720005
RTX,Raytheon Co.,Aerospace & Defense,0001047122
O,Realty Income Corporation,Retail REITs,0000726728
REG,Regency Centers Corporation,Retail REITs,0000910606
REGN,Regeneron Pharmaceuticals,Biotechnology,0000872589
RF,Regions Financial Corp.,Regional Banks,0001281761
RSG,Republic Services Inc,Environmental & Facilities Services,0001060391
RMD,ResMed,Health Care Equipment,0000943819
RHI,Robert Half International,Human Resource & Employment Services,0000315213
ROK,Rockwell Automation Inc.,Electrical Components & Equipment,0001024478
ROL,Rollins Inc.,Environmental & Facilities Services,0000084839
ROP,Roper Technologies,Industrial Conglomerates,0000882835
ROST,Ross Stores,Apparel Retail,0000745732
RCL,Royal Caribbean Cruises Ltd,"Hotels, Resorts & Cruise Lines",0000884887
SPGI,"S&P Global, Inc.",Financial Exchanges & Data,0000064040
CRM,Salesforce.com,Application Software,0001108524
SBAC,SBA Communications,Specialized REITs,0001034054
SLB,Schlumberger Ltd.,Oil & Gas Equipment & Services,0000087347
STX,Seagate Technology,"Technology Hardware, Storage & Peripherals",0001137789
SEE,Sealed Air,Paper Packaging,0001012100
SRE,Sempra Energy,Multi-Utilities,0001032208
NOW,ServiceNow,Systems Software,0001373715
SHW,Sherwin-Williams,Specialty Chemicals,0000089800
SPG,Simon Property Group Inc,Retail REITs,0001063761
SWKS,Skyworks Solutions,Semiconductors,0000004127
SLG,SL Green Realty,Office REITs,0001040971
SNA,Snap-on,Industrial Machinery,0000091440
SO,Southern Company,Electric Utilities,0000092122
LUV,Southwest Airlines,Airlines,0000092380
SWK,Stanley Black & Decker,Industrial Machinery,0000093556
SBUX,Starbucks Corp.,Restaurants,0000829224
STT,State Street Corp.,Asset Management & Custody Banks,0000093751
STE,STERIS plc,Health Care Equipment,0001757898
SYK,Stryker Corp.,Health Care Equipment,0000310764
SIVB,SVB Financial,Regional Banks,0000719739
SYF,Synchrony Financial,Consumer Finance,0001601712
SNPS,Synopsys Inc.,Application Software,0000883241
SYY,Sysco Corp.,Food Distributors,0000096021
TMUS,T-Mobile US,Wireless Telecommunication Services,0001283699
TROW,T. Rowe Price Group,Asset Management & Custody Banks,0001113169
TTWO,Take-Two Interactive,Interactive Home Entertainment,0000946581
TPR,"Tapestry, Inc.","Apparel, Accessories & Luxury Goods",0001116132
TGT,Target Corp.,General Merchandise Stores,0000027419
TEL,TE Connectivity Ltd.,Electronic Manufacturing Services,0001385157
FTI,TechnipFMC,Oil & Gas Equipment & Services,0001681459
TFX,Teleflex,Health Care Equipment,0000096943
TXN,Texas Instruments,Semiconductors,0000097476
TXT,Textron Inc.,Aerospace & Defense,0000217346
TMO,Thermo Fisher Scientific,Life Sciences Tools & Services,0000097745
TIF,Tiffany & Co.,"Apparel, Accessories & Luxury Goods",0000098246
TJX,TJX Companies Inc.,Apparel Retail,0000109198
TSCO,Tractor Supply Company,Specialty Stores,0000916365
TT,Trane Technologies plc,Building Products,0001466258
TDG,TransDigm Group,Aerospace & Defense,0001260221
TRV,The Travelers Companies Inc.,Property & Casualty Insurance,0000086312
TFC,Truist Financial,Regional Banks,0000092230
TWTR,"Twitter, Inc.",Interactive Media & Services,0001418091
TSN,Tyson Foods,Packaged Foods & Meats,0000100493
UDR,"UDR, Inc.",Residential REITs,0000074208
ULTA,Ulta Beauty,Specialty Stores,0001403568
USB,U.S. Bancorp,Diversified Banks,0000036104
UAA,Under Armour Class A,"Apparel, Accessories & Luxury Goods",0001336917
UA,Under Armour Class C,"Apparel, Accessories & Luxury Goods",0001336917
UNP,Union Pacific Corp,Railroads,0000100885
UAL,United Airlines Holdings,Airlines,0000100517
UNH,United Health Group Inc.,Managed Health Care,0000731766
UPS,United Parcel Service,Air Freight & Logistics,0001090727
URI,"United Rentals, Inc.",Trading Companies & Distributors,0001067701
UHS,"Universal Health Services, Inc.",Health Care Facilities,0000352915
UNM,Unum Group,Life & Health Insurance,0000005513
VFC,V.F. Corp.,"Apparel, Accessories & Luxury Goods",0000103379
VLO,Valero Energy,Oil & Gas Refining & Marketing,0001035002
VAR,Varian Medical Systems,Health Care Equipment,0000203527
VTR,Ventas Inc,Health Care REITs,0000740260
VRSN,Verisign Inc.,Internet Services & Infrastructure,0001014473
VRSK,Verisk Analytics,Research & Consulting Services,0001442145
VZ,Verizon Communications,Integrated Telecommunication Services,0000732712
VRTX,Vertex Pharmaceuticals Inc,Biotechnology,0000875320
VIAC,ViacomCBS,Movies & Entertainment,0001339947
V,Visa Inc.,Data Processing & Outsourced Services,0001403161
VNO,Vornado Realty Trust,Office REITs,0000899689
VMC,Vulcan Materials,Construction Materials,0001396009
WRB,W. R. Berkley Corporation,Property & Casualty Insurance,0000011544
WAB,Wabtec Corporation,Construction Machinery & Heavy Trucks,0000943452
WMT,Walmart,Hypermarkets & Super Centers,0000104169
WBA,Walgreens Boots Alliance,Drug Retail,0001618921
DIS,The Walt Disney Company,Movies & Entertainment,0001001039
WM,Waste Management Inc.,Environmental & Facilities Services,0000823768
WAT,Waters Corporation,Health Care Distributors,0001000697
WEC,Wec Energy Group Inc,Electric Utilities,0000783325
WFC,Wells Fargo,Diversified Banks,0000072971
WELL,Welltower Inc.,Health Care REITs,0000766704
WDC,Western Digital,"Technology Hardware, Storage & Peripherals",0000106040
WU,Western Union Co,Data Processing & Outsourced Services,0001365135
WRK,WestRock,Paper Packaging,0001636023
